Country_code,LEI_Code,Bank_name,Period,Item,Scenario,Fact_char,Amount
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213703,2,,5974.079788
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213703,3,,5974.079788
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213704,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213704,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213705,2,,9275.596787
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213705,3,,7283.954747
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213706,2,,-3460.324684
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213706,3,,-3572.816301
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213707,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213707,3,,-112.4916172
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213708,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213708,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213709,2,,-3460.324684
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213709,3,,-3460.324684
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213710,2,,-391.9070954
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213710,3,,-391.9070954
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213711,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213711,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213712,2,,421.2517914
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213712,3,,421.2517914
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213713,2,,-4.01052174
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213713,3,,-35.86354807
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213714,2,,-57.80027472
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213714,3,,-89.65330105
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213715,2,,-0.07485432
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213715,3,,-0.07485432
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213716,2,,53.8646073
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213716,3,,53.8646073
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213717,2,,-584.8695321
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213717,3,,-584.8695321
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213718,2,,-12.68320683
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213718,3,,-12.68320683
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213719,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213719,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213720,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213720,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213721,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213721,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213722,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213722,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213723,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213723,3,,0
